"","210787_s_at","205461_at","207730_x_at","202434_s_at","203890_s_at","212107_s_at","206439_at","201044_x_at","217607_x_at","217675_at","204560_at","215660_s_at","217248_s_at","202601_s_at","215600_x_at","214040_s_at","208629_s_at","202340_x_at","208965_s_at","211277_x_at","201465_s_at","200796_s_at","207574_s_at","222339_x_at","214251_s_at","201679_at","206824_at","203496_s_at","220221_at","207499_x_at","211876_x_at","208499_s_at","212027_at","215208_x_at","202773_s_at","217924_at","200671_s_at","200917_s_at","215067_x_at","207334_s_at","208900_s_at","220720_x_at","209959_at","218228_s_at","221017_s_at","221031_s_at","221638_s_at","217007_s_at","213986_s_at","205210_at"
"GSM1337304",6.59395128394841,6.86294724802092,11.3120320587449,7.28355142317431,7.97899639608894,7.02347715183043,6.15785216914174,8.60696034451027,5.4594316186373,2.94485844580754,8.21529030565123,7.02236781302845,7.2807707701306,6.29829173062012,9.93869746118087,8.13493964349298,9.93590168226759,10.1185518039239,10.0050630800135,8.97956810009519,9.17617314910749,8.36632221424582,11.6304036512204,6.34340782229781,7.68088692071969,6.71149490665009,3.47248777146274,6.33628338786443,7.15583017155653,8.95535930524299,6.87528859822269,6.39574832817903,8.97613447283165,7.33539035469393,7.23935985027747,8.00674683244059,7.36282052553426,7.93191939010004,9.09275714091985,7.59916899321943,8.40471582659663,9.90659000282883,11.0996765548596,9.85486838326024,6.06608919045777,11.0188956211216,6.92837032301897,8.16641418264516,8.4038641766068,5.59991284218713
"GSM1337305",5.6667565918848,7.00674683244058,10.8217739819706,4.37155886261196,7.86974805146507,7.19869058566892,3.58496250072116,6.23457795978457,3.85798099512757,3.65535182861255,7.87344411251538,6.88386515450979,7.00450139223494,5.79960542245267,9.81394148176116,10.0910386236936,9.78839207872234,7.95128471496697,9.79668859446415,9.28355142317431,8.74045539698897,6.39403389536778,11.4983506079296,5.48864353985378,7.49825086752783,6.5438051759644,4.41953889151378,4.81762325751143,6.61176256006487,7.90267658665114,5.93073733756289,6.32012359804061,8.92094827227904,7.16390121381454,6.44128427192704,8.11530380615212,6.71699089440494,7.50858711208948,8.02125762056052,6.99887245399427,8.05528243550119,9.06312539345879,5.74685018309805,9.89421146153777,6.05311133645956,8.93752095139832,6.58496250072116,7.91109233158713,8.22833771198138,7.62205181945638
"GSM1337306",7.02569327368077,6.6906964439777,10.7497856447643,6.74281466986289,7.05528243550119,7.58120058192496,4.84297883178833,8.97584796800678,6.01792190799726,2.23266075679027,8.90538700501813,7.06824086131282,6.01122725542325,6.58796498888268,9.95768248616512,10.8939082150751,10.4320198468125,8.53566419081016,9.04384754043891,8.48341273352902,10.2679570844028,6.78267065867701,10.7460943837055,6.66249036391378,7.81185631429254,5.70043971814109,2.98185265328974,5.93781516880342,6.85174904141606,8.3819754785573,6.00225245173138,6.30924896081662,7.95535930524299,7.00450139223494,6.71836162613835,7.70182625841205,8.25738784269265,6.93073733756289,8.7921395522779,8.01847839596593,7.60806996772166,8.97010589061218,5.59693514238723,9.54592976908547,3.92599941855622,11.1195247790574,6.24792751344359,7.81442224656679,7.63299519714296,4.81762325751143
"GSM1337307",8.17642251304224,7.2240016741981,10.957755025323,5.0703893278914,7.00450139223494,8.38370429247405,4.877744249949,9.04712391211403,5.6724253419715,5.76818432477693,7.61985314739117,4.03562390973072,6.0703893278914,6.34163000932991,9.66159997627773,8.89330153086056,9.15532422905059,8.37373520190066,10.0431640254591,9.0389189892923,8.21916852046216,8.92065059456398,12.9399280927715,7.70804925170222,4.4594316186373,7.69766263347052,4.78135971352466,6.60584986719498,6,8.30514974563003,6.84674402324487,7.15380533607904,8.70563238736142,7.81634370528486,7.1261882105221,8.34872815423108,5.73335434061383,8.50382573799575,8.57099412874323,6.85549144310187,8.50620838930674,9.13493964349298,10.0071674636815,9.39874369193819,6.08321336824898,9.67012509796528,6.83920378809694,7.86666075081999,8.7262181593322,6.84549005094437
"GSM1337308",6.84924870276441,6.64385618977472,11.1141327345777,8.12205144771389,7.13647851834917,7.82718389581953,5.61470984411521,10.0574502721839,6.15785216914174,3.68929916053589,9.72996056101802,5.39574832817903,6.79311555527435,5.02680005934372,9.87667041659768,10.7841440494851,9.88157285747403,9.23481743111732,10.4572782655343,8.67136414660119,11.0098286173681,7.09908476089186,13.3159844757163,7.44625622988956,6.46107011403305,7.32192809488736,3.85798099512757,6.04439411935845,7.25077213159993,8.23218105768664,5.48542682717024,7.762880292917,8.84203599652491,6.78004757606187,6.63372181264101,8.49864978776841,8.3371758685863,7.92005505480697,8.21577565302028,7.58496250072116,8.8592241619782,9.08401109845503,8.84674402324487,9.36763315939816,4.39917109381982,9.98256583489549,6.99661471481536,8.19130601891869,8.40599235967584,6.85299758761332
"GSM1337309",7.43212427264156,6.58044701959866,9.54592976908547,8.38024459047818,8.54728015566346,8.20408201217437,5.16992500144231,10.4949555598934,5.15380533607904,4.71149490665009,12.1048607997082,7.12928301694497,8.46923479366766,8.1106138055009,9.283088353024,11.5691435765451,10.5005431540064,8.97039353791468,9.76785339346664,9.35865120089289,9.16791986555194,7.92896244083598,12.6685083101636,7.13237119873254,7.49585502688717,7.64529816394863,4.8073549220576,7.64673869830785,5.98185265328974,7.83415498140132,8.50422311991285,7.39574832817903,8.28493974248679,4.74953426766926,7.55458885167764,8.66213427479907,8.84046323386954,8.62021982550749,7.4178525148859,8.37634248280467,8.31786479839195,8.23409889783732,5.65535182861255,8.5588033402543,5.91886323727459,11.3345526337524,6.35579154675365,7.78659636189081,8.81057163474115,7.18784690943957
"GSM1337310",6.05961485629722,6.04001567884788,9.03809592468451,7.82654848729092,8.36150519794804,7.61838550225861,5.20163386116965,6.98754825895374,5.28169825009883,4.65535182861255,7.67807190511264,7.96231765494231,5.20945336562895,7.35843142862635,8.07841770164733,9.91707366287822,10.5355669970862,7.20945336562895,9.72041528490633,9.03177011416067,8.76818432477693,7.19967234483636,9.64114859741123,6.54689445988764,8.64889680647526,7.5630055530624,6.02901108665907,7.59768014371589,4.86789646399265,8.41658643754191,8.74416109557041,6.75221336786514,8.62862780216015,5.20554891117303,7.25455625190949,7.48139582415413,8.44708322620965,8.44294349584873,7.01010845347429,8.01010845347429,8.29370154208073,7.7983097824546,6.85549144310187,8.9901039638575,3.84799690655495,8.37634248280467,6.71149490665009,8.84705734609134,8.73301532168596,6.51412226017071
"GSM1337311",7.2336196767597,6.95419631038687,11.4388438219247,7.2364926183813,8.12153351734003,7.50541460934675,3.39231742277876,10.1371192320609,6.02901108665907,3.29278174922785,5.70597790168252,7.73199778664374,7.60214209069798,7.64169052255661,10.1706762094993,10.5873087283335,10.0721326041672,11.2828567621991,10.0237543532994,9.37460481919094,11.775198728898,8.22689381357139,11.7312341641148,7.8008998999203,8.32418054661874,6.79960542245267,5.92124588858559,8.16087986183931,6.7045953476324,8.91856512898944,8.89845023280787,6.91528186586766,8.77741971551583,6.72383156649532,7.15279185163912,7.49505552836802,7.94895120044142,8.74112986873613,8.87282875953488,6.656782364219,8.31152127982613,9.58383495471543,8.91945926911157,9.72655877910498,4.41278152533848,10.2260508716597,6.98299357469431,8.5461227588578,8.54341854992942,6.60139939053183
"GSM1337312",6.69488019279919,6.74011804283313,11.5168818908212,8.32597997939444,7.85112436288675,7.74281466986289,5.6409679104499,10.3805692902149,5.93781516880342,6.13134253912326,4.41953889151378,8.13442632022093,6.88264304936184,7.30286736097287,9.88828662758067,10.0103882353119,10.5001447570303,10.4210128557792,10.1797847143917,9.83273181524569,12.2871640512449,8.3482855418512,11.8035257369114,7.6387978999517,8.35799178363106,6.28725064325462,5.34695688937888,7.9413411054853,7.04766925139131,8.63915979510997,8.55074678538324,7.12722055048807,8.82049810743162,7.44377239276374,7.93663793900257,7.76155123244448,8.10852445677817,8.78135971352466,8.87221314397577,7.17492568250068,8.50422311991285,9.04138536948611,8.94192792470872,9.44107673469862,5.99322146736894,10.2391211318123,6.96116025813664,8.45738087907253,8.51806297565252,7.3037807481771
"GSM1337313",6.92005505480697,7.68088692071969,11.0094787458881,9.36697783572535,8.01847839596593,7.11997860965488,3.70043971814109,10.1574732603961,4.93073733756289,5.30742852519225,8.29599846191139,7.88508622529017,8.19327893552139,7.34695688937888,9.69400957842186,9.45635441510829,10.0571794706738,12.9738946383153,10.1104833098162,9.26044914075333,9.34850686501508,9.42752237068255,11.7847166286726,5.4757334309664,8.43379405875492,6.61028665708102,5.34695688937888,5.93310047493137,6.04875931191986,8.56719556140687,8.6667565918848,7.49024921062709,8.17342729734862,6.74550626586916,7.54689445988764,8.23553560671046,8.28447711781042,8.98584193700334,8.37764435839991,8.38413617244761,8.31741261376487,9.34296357439873,10.8557250211872,7.73944309777245,4.5298209465287,11.8941356558976,7.40854204229686,7.35579154675365,9.16591193893569,5.71973105674985
